Total.Income,Ave.Stroke,Ave.putting,Ave.birdie,GIR,Par.save,Par.break,Recovery.rate
6783313,73.13,31.02,16.14,69.44,79.77,16.14,53.09
5183971,73.13,30.54,13.79,67.76,82.04,13.79,54.77
7158819,73.45,31.36,11.38,68.25,81.88,11.64,59.17
8563000,74.64,32.22,12.32,69.14,77.29,12.32,47.6
5278381,74.04,32.19,11.81,71.91,80.16,11.9,51.49
6647065,73.8,31.11,12.44,67.26,80.56,12.44,52.35
4031387,73.55,31,12.45,67.37,81.23,12.64,58.2
4882278,74.19,32.2,12.82,69.73,77.56,12.93,50.56
3956250,73.5,31.65,13.89,69.96,79.53,14.09,51.37
7008602,73.76,31.93,13.1,70.19,79.76,13.1,48.64
4153994,73.58,31.15,15.09,70.75,80.92,15.09,51.61
4136389,73.72,31.81,13.27,70.78,79.32,13.48,49.65
6689735,74.66,30.86,11.49,63.89,78.16,11.74,51.75
5911548,74.35,31.72,13.46,69.57,77.16,13.83,46.06
6550000,74.89,31.6,10.4,62.41,76.24,10.4,53.14
5141591,74.28,31.22,13.95,67.04,77.42,13.95,50.56
4168705,74.22,30.4,10.24,60.53,80.39,10.24,57.18
4139945,73.75,31.71,14.7,71.06,79.05,14.93,49.6
4784010,73.6,31.38,13.12,68.44,80.5,13.12,61.8
4222500,73.71,32.04,13.43,72.92,79.86,13.77,46.58
4128212,74.22,31.41,14.61,69.93,77.9,14.86,44.98
4493636,73.75,32.04,12.38,70.14,80.09,12.38,52.33
3887846,74.08,30.83,10.56,63.83,80.22,10.89,59.48
4594123,74.24,31.74,10.87,68.92,80.85,10.87,52.34
3797787,75.08,31.96,11.9,67.16,75.96,11.9,43.98
3725119,73.96,30.36,12.7,62.96,79.59,12.7,53
3851829,74.3,31.43,12.65,65.6,77.42,12.65,50.86
3431642,74.79,30.87,10.77,63.21,78.12,10.77,49.33
3379133,74.53,29.88,12.32,57.67,76.57,12.32,55.63
3907250,74.6,32.09,11.11,67.16,77.53,11.11,51.5
3148750,74.83,30.98,11.96,62.44,75.97,11.96,47.27
3575071,74.6,32.09,11.9,69.75,77.32,12.13,41.22
4848571,74.79,31.93,13.82,65.63,73,13.95,46.24
3724259,74.79,32.43,11.9,69.31,75.4,12.17,44.4
3335250,74.89,31.6,11.36,64.08,73.86,11.49,47.84
28200000,71.25,27.75,22.22,63.89,84.72,22.22,57.69
3463125,75.19,31.69,11.77,64.29,75.79,11.9,48.15
3367917,75.25,31.85,12.36,64.86,75.97,12.36,48.22
2947647,75.52,34.33,10.86,76.5,74.75,10.86,32.73
3668929,75.1,31.82,9.72,65.28,77.78,9.72,50.4
3142500,75.3,31.85,11.25,64.44,74.8,11.25,48.05
